IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,latitude,longitude,color
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063859128461356,-73.95450991481249,green
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063298514179143,-73.95477154530808,green
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.062294659255415,-73.95432083082554,green
183560.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Tibitó,,Carbón,Caldera,Río Bogotá,4.986453623175652,-73.96796882637689,green
183976.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,Carbón,Horno,Río Bogotá,5.141135929250273,-73.8982156143763,green
185276.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Canelón,,Carbón,Caldera,Río Bogotá,4.921062492435692,-74.03828759452762,green
185684.0,Seguimiento y Control,Ubate,Cundinamarca,SUTATAUSA,Peñas de Boquerón,,Carbón,Chimenea Triunfo central,Río Suárez,5.20757802997226,-73.85366477007742,green
187436.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,AREA URBANA,,Carbón,Horno,(sin definir),4.5635282023203985,-74.22837146247642,green
188060.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Chuntame Alto,,Carbón,Caldera,Río Bogotá,4.972477821182302,-74.00104494634783,green
188280.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.07090404704611,-73.95688938595272,green
188764.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Chimenea 1,Río Suárez,5.189093129940887,-73.87686123390627,green
190770.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chusaca,,Carbón,700 BHP VR2,(sin definir),4.547811232729657,-74.2476792437028,green
190772.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chusaca,,Carbón,Caldera,(sin definir),4.547786277838014,-74.24772162665838,green
197696.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,San José,,Otros,molino,Río Bogotá,4.697863547136177,-74.18591900240203,green
199550.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Cazuca,,Carbón,Caldera,Río Bogotá,4.59059363178149,-74.19144491479723,green
199976.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.069357018781721,-73.9532914220978,green
203658.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Chuntame Bajo,,Fuel Oil No.8,PLANTA DE MEZCLA ASFÁLTICA,Río Bogotá,4.950794121243961,-74.01465343303985,green
205016.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Casa Blanca,,Carbón,Batería de coquización A,Río Bogotá,5.130911002130798,-73.90780567938849,green
205316.0,Seguimiento y Control,Sabana Centro,Cundinamarca,ZIPAQUIRA,Centro    ,,Gas,Horno,Río Bogotá,5.029057177522787,-73.98090202384775,green
205998.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Rabanal,,Carbón,Horno,Río Suárez,5.334212517575045,-73.70175481069927,green
206954.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Canavita,,Otros,Horno,Río Bogotá,4.948160070683243,-73.93863541906872,green
206956.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Mortiño,,Carbón,Horno,Río Bogotá,5.060730225984948,-73.95432112675945,green
208554.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,Vuelta Grande,,Otros,Horno,Río Bogotá,4.741710643609742,-74.13242897551558,green
209714.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Frontera,,Coque,Horno,Río Suárez,5.373902748081655,-73.69011881548678,green
210888.0,Seguimiento y Control,Ubate,Cundinamarca,SUTATAUSA,Peñas de Cajón,,Carbón,Horno,Río Suárez,5.214274490915157,-73.84186403026766,green
211090.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,AREA URBANA,,Gas,Horno,Río Bogotá,4.545286581264353,-74.2436941623454,green
211788.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.515170499729747,-74.1492168925191,green
214656.0,Seguimiento y Control,Alto Magdalena,Cundinamarca,GIRARDOT,CENTRO,,Otros,Horno,Río Bogotá,4.327055786248329,-74.80120845771593,green
